1456	587	-686
2912	586	-343
4368	586	-343
5824	585	-343
7280	585	0
8736	585	0
10192	585	0
11648	585	0
13104	585	-343
14560	584	-342
16020	584	0
17472	584	-343
18928	583	-343
20384	583	0
21840	583	-342
23304	582	-342
24760	582	0
26216	582	0
27672	582	0
29128	582	0
30584	582	0
32040	582	0
33496	582	0
34952	582	-343
36408	581	-343
37864	581	0
39320	581	-343
40776	580	-343
42232	580	0
43688	580	0
45144	580	0
46600	580	0
48056	580	0
49512	580	0
50968	580	0
52424	580	-343
53880	579	-343
55336	579	0
56792	579	-343
58248	578	-343
59704	578	0
61160	578	0
62616	578	0
64072	578	0
65528	578	-343
66984	577	-343
68440	577	0
69896	577	0
71352	577	0
72808	577	0
74264	577	0
75720	577	-343
77176	576	-343
78632	576	0
80088	576	-343
81544	575	-343
83000	575	0
84456	575	0
85912	575	0
87368	575	0
88824	575	0
90320	575	-334
91816	574	-334
93312	574	0
94808	574	0
96304	574	0
97800	574	-333
99304	573	-333
100800	573	0
102296	573	0
103792	573	-334
105288	572	-334
106784	572	0
108280	572	0
109776	572	0
111272	572	0
112768	572	0
114264	572	0
115760	572	0
117256	572	-333
118760	571	-333
120256	571	0
121752	571	-334
123248	570	-334
124744	570	0
126240	570	0
127736	570	0
129232	570	0
130728	570	0
132224	570	0
133720	570	0
135216	570	0
136712	570	0
138216	570	0
139712	570	0
141208	570	0
142704	570	0
144200	570	0
145696	570	0
147192	570	0
148688	570	0
150184	570	0
151680	570	0
153176	570	0
154672	570	0
156168	570	0
157672	570	-333
159168	569	-334
160664	569	0
162160	569	0
163656	569	0
165152	569	0
166648	569	0
168144	569	0
169640	569	0
171136	569	0
172632	569	0
174128	569	0
175624	569	0
177128	569	-333
178624	568	-334
180120	568	0
181616	568	0
183112	568	0
184608	568	0
186104	568	0
187600	568	0
189096	568	0
190592	568	0
192088	568	0
193584	568	0
195080	568	0
196584	568	0
198080	568	0
199576	568	0
201072	568	0
202568	568	-334
204064	567	-334
