0	0	0	588	0	589	0	589	0	589
1540856	694	1749816	536	1852052	589	2064272	560	2112192	559
2428432	696	2626616	537	2755152	594	2947336	572	2986048	570
3351760	693	3557840	546	3686552	596	3866408	575	3916032	573
4298824	689	4506640	545	4636920	591	4818368	574	4867984	574
5207576	692	5415400	550	5541096	593	5725688	572	5770632	572
6184776	701	6389496	546	6513608	592	6710440	571	6741416	571
7178816	706	7385120	542	7507728	586	7700008	566	7734136	565
8188608	700	8399352	539	8521872	583	8718856	564	8748344	564
9207472	707	9413848	541	9536400	588	9733400	569	9764416	568
10223512	705	10432200	533	10562816	581	10765112	564	10800152	563
11198384	700	11408648	542	11515368	590	11727224	568	11778208	568
12165280	699	12372376	543	12502992	592	12705288	568	12740336	567
13146544	697	13350432	544	13482648	592	13686536	568	13718392	567
14113432	692	14318912	544	14452736	590	14639104	576	14690080	576
15038920	702	15247664	553	15378424	597	15582328	574	15614184	572
16037920	708	16241816	540	16342168	587	16563584	570	16603408	569
17051008	704	17261272	543	17391896	587	17586224	570	17626048	569
18045048	698	18256896	547	18358848	592	18588232	565	18620096	565
19062976	693	19270144	541	19394392	593	19588728	570	19626960	568
20108024	695	20319904	540	20420312	587	20661000	559	20692856	555
21084704	703	21220104	531	21392136	584	21532312	575	21573728	572
22081888	705	22287400	548	22418104	595	22607656	578	22653848	576
23061736	700	23271992	547	23367576	590	23595472	570	23646448	570
23937960	691	24149912	548	24283712	585	24471688	568	24522672	567
24860424	697	25065920	546	25193376	586	25391064	571	25427704	570
25886664	698	26092160	543	26222840	582	26410800	564	26458584	563
26866368	691	27076624	545	27207256	586	27392032	570	27443016	570
27860456	704	28065944	542	28190248	587	28386192	571	28421248	570
28915304	705	29120816	544	29248264	591	29445896	568	29482544	567
29938152	705	30147088	539	30277856	590	30462928	570	30513928	568
30928504	709	31134208	540	31255304	592	31451584	572	31486640	571
32005128	711	32209024	536	32330080	593	32511696	573	32559536	570
33080752	710	33291016	534	33420040	592	33604816	569	33655784	568
34077920	716	34292976	542	34420408	598	34582928	591	34656200	598
35102288	717	35309552	540	35435392	601	35631520	574	35668216	572
36143392	722	36352056	526	36485872	591	36690120	565	36725184	565
37051848	715	37266920	543	37402328	594	37590512	569	37641544	569
37938360	715	38147344	545	38279624	597	38487144	575	38517416	574
38895464	697	39101200	546	39227392	593	39425232	573	39461880	571
39925968	674	40137952	538	40268568	588	40453408	571	40504384	571
40913160	682	41122000	550	41231904	594	41424648	578	41456520	575
42066728	690	42269024	542	42382120	592	42571680	572	42609912	569
43180224	684	43393712	535	43521176	583	43709136	564	43755328	563
44198376	686	44415088	542	44537808	588	44735408	568	44768872	567
45270792	690	45481088	541	45597528	592	45790344	571	45827016	569
46370384	692	46585456	534	46692296	588	46910600	567	46948824	566
47379592	683	47594752	542	47722296	593	47913792	570	47956888	570
48409608	688	48620112	542	48744464	595	48932500	574	48977152	572
49455704	691	49669296	539	49764976	590	50005552	565	50037432	563
50421880	683	50637360	546	50734832	593	50975864	571	51009432	571
51363736	686	51572408	548	51703120	594	51886360	576	51937344	573
52361488	693	52568808	546	52699424	590	52890568	573	52935168	571
53344672	692	53558152	548	53653768	589	53881608	571	53927800	571
54299032	705	54509408	549	54633656	593	54832992	575	54864872	573
55359192	712	55568096	546	55682848	591	55872488	574	55910752	572
56475552	701	56687496	538	56816752	587	57016104	569	57052736	568
57478984	696	57691096	546	57812176	590	58004944	568	58043176	567
58559640	694	58765640	539	58885520	591	59084840	570	59115104	570
59641232	691	59854992	538	59984344	589	60180544	566	60220392	566
60636968	691	60853944	538	60949800	580	61181312	556	61219680	556
61647608	695	61854904	542	61981040	591	62180568	571	62214104	571
